"Lance.code","Lon","Lat"
"1737_1",-80.9534666666667,-6.18116666666667
"1737_2",-80.9502166666667,-6.18098333333333
"1737_3",-80.8154666666667,-6.32895
"1737_4",-80.73655,-6.36806666666667
"1737_5",-80.7314,-6.36361666666667
"1737_6",-80.7098,-6.3711
"1738_1",-81.0073166666667,-5.70601666666667
"1738_2",-81.0524833333333,-5.74883333333333
"1738_3",-80.9565333333333,-5.6805
"1738_4",-81.0167666666667,-6.23756666666667
"1738_5",-80.6144333333333,-6.4855
"1738_6",-80.4935833333333,-6.52058333333333
"1738_7",-80.4103333333333,-6.53961666666667
"1738_8",-80.4122666666667,-6.58646666666667
"1738_9",-80.3876166666667,-6.59746666666667
"1738_10",-80.1252666666667,-6.70133333333333
"1739_1",-80.0958166666667,-7.02218333333333
"1739_2",-80.0974333333333,-7.13088333333333
"1739_3",-79.8219833333333,-7.03858333333333
"1739_4",-79.79885,-7.04326666666667
"1739_5",-79.8125,-7.02668333333333
"1739_6",-79.77995,-7.08238333333333
"1739_7",-79.8861666666667,-7.01858333333333
"1740_1",-81.1056833333333,-5.7995
"1740_2",-81.0613666666667,-6.22283333333333
"1740_3",-80.9481333333333,-6.23698333333333
"1740_4",-80.8396666666667,-6.3086
"1740_5",-80.7977166666667,-6.33543333333333
"1740_6",-80.69445,-6.39686666666667
"1740_7",-80.5675,-6.43991666666667
"1740_8",-80.77285,-6.41885
"1740_9",-81.05705,-6.22193333333333
"1740_10",-81.0064333333333,-6.25466666666667
"1742_1",-79.1850666666667,-10.3346333333333
"1742_2",-79.34135,-10.4187166666667
"1742_3",-79.3927333333333,-10.4743666666667
"1742_4",-79.4303333333333,-10.5689666666667
"1742_5",-79.5033333333333,-10.6776666666667
"1742_6",-79.5746833333333,-10.73175
"1742_7",-79.5001,-10.7919333333333
"1742_8",-79.4614666666667,-10.8416833333333
"1742_9",-79.3432666666667,-10.9233833333333
"1742_10",-79.3576,-10.9736166666667
"1742_11",-79.1754833333333,-11.0339833333333
"1742_12",-79.0861666666667,-11.1345666666667
"1742_13",-79.0051166666667,-11.1707833333333
"1742_14",-78.8366666666667,-11.338
"1743_1",-81.0497,-5.73221666666667
"1743_2",-81.04145,-5.66608333333333
"1743_3",-80.9757333333333,-5.70575
"1743_4",-81.0612166666667,-5.75495
"1744_1",-81.0211333333333,-5.72515
"1744_2",-80.9462,-5.56831666666667
"1744_3",-81.09845,-5.53791666666667
"1744_4",-81.1970166666667,-5.78131666666667
"1744_5",-81.20565,-5.7716
"1744_6",-81.2006333333333,-5.77793333333333
"1744_7",-81.2183333333333,-5.76573333333333
"1745_1",-81.0435333333333,-5.63091666666667
"1745_2",-81.2272,-5.75538333333333
"1745_3",-81.1741166666667,-5.79011666666667
"1745_4",-81.15965,-5.79765
"1745_5",-81.1506166666667,-5.8129
"1745_6",-81.16765,-5.78226666666667
"1746_1",-81.15935,-5.70458333333333
"1746_2",-81.1401,-5.81155
"1746_3",-80.9509333333333,-6.183
"1746_4",-80.8908333333333,-6.23448333333333
"1746_5",-80.9494333333333,-6.22738333333333
"1746_6",-80.8619333333333,-6.27061666666667
"1747_1",-80.14015,-6.90966666666667
"1747_2",-80.5015833333333,-7.11676666666667
"1748_1",-81.1244666666667,-5.59753333333333
"1748_2",-81.1514833333333,-5.56823333333333
"1748_3",-81.1872833333333,-5.73735
"1748_4",-80.9661666666667,-6.25413333333333
"1748_5",-80.90565,-6.28745
"1748_6",-80.97555,-6.29003333333333
