"Lance.code","Km.day"
"379_4",0.351247326723049
"379_5",0.381625473899096
"379_6",0.288592398172451
"380_1",0.250619714202391
"380_2",0.315932730630894
"380_3",NA
"380_4",0.313274642752989
"380_5",0.140498930689219
"381_1",0.0797426363371245
"381_2",0.187395195392243
"381_3",0.0425294060464664
"381_4",0.21131798629338
"382_1",0.0637941090696996
"382_2",0.186066151453291
"382_3",0.458520158938466
"384_1",0.263150699912511
"384_2",0.071768372703412
"384_3",0.223279381743949
"384_4",0.239227909011373
"384_5",0.0757555045202683
"384_6",0.223279381743949
"385_1",0.116196412948382
"385_2",0.0410104986876641
"385_3",0.0577184796344902
"385_4",0.0273403324584427
"387_1",NA
"387_2",NA
"387_3",NA
"387_4",NA
"387_5",NA
"387_6",NA
"387_7",NA
"388_1",0.0949317099251487
"388_2",0.0227836103820356
"388_3",0.0432888597258677
"388_4",0.0852107028288132
"388_5",0.0956911636045496
"388_6",0.0934128025663461
"388_7",0.0410104986876641
"391_1",0.7
"391_2",0.7125
"391_3",0.725
"392_1",0.0956911636045494
"392_2",0.486430081656459
"392_3",0.462507290755322
"392_4",NA
"393_1",0.41580088947215
"393_2",0.41010498687664
"393_3",0.48699967191601
"393_4",0.473329505686789
"393_5",0.397574001166519
"394_1",0.269131397637795
"394_2",0.340899770341206
"394_3",0.135847276902887
"394_4",0.115342027559055
"396_1",NA
"396_2",NA
"397_1",NA
"401_1",0.407257035578886
"401_2",0.361310087975115
"401_3",0.405168537960534
"401_4",0.3529560975017
"401_5",0.367575580830175
"401_6",0.30074365704287
"401_7",0.125309857101196
"402_1",0.543389107611548
"402_2",0.516048775153104
"402_3",0.553641732283464
"402_4",0.471620734908136
"402_5",0.546806649168852
"402_6",0.574146981627296
"402_7",0.570729440069992
"404_1",0.622402668416447
"404_2",0.636277887139107
"404_3",0.758511956838726
"404_4",0.537169181977252
"404_5",NA
"404_6",0.754547608632252
"404_7",0.726797171186933
"404_8",0.738029491105279
"405_1",0.346690604646641
"405_2",0.367575580830175
"405_3",0.250619714202391
"405_4",0.388460557013707
"405_5",0.223469245163799
"405_6",0.28821267133275
"406_1",0.496204250510354
"406_2",0.518668890347038
"406_3",NA
"409_1",0.018526872508992
"410_1",0.0119613954505687
"413_1",0.280694079906678
"413_2",0.336248116554876
"413_3",0.217203752308739
"413_4",0.269416192767571
"413_5",0.311186145134637
"413_6",0.215115254690386
