Trip code,Lance #,mammal code,Lights,Animal code,Latitude,Longitude,Species,Condition,State,Length,Sex,Young - length,Young - sex,Use,Sample?,Photo #s,Comments,photo link,photo link 2
285,3,184,,gvh-2135,08´40.222,79´07.307,3,2,2,172.00,2,,,1,TRUE,15,,,
285,5,185,,gvh-2144,08´47.000,79´18.000,3,2,2,177.00,2,,,1,TRUE,,,,
287,1,181,,,08´23.570,79´06.460,1,1,5,,,,,,FALSE,,Manada de locos avistada,,
287,3,182,,,09´17.675,80´36.253,1,1,5,,,,,,FALSE,,Manada de locos avistada,TC287-03 sighting,
292,2,186,,,,,1,1,5,,,,,,FALSE,,Aproximadamnete 300 - 400 ejemplares observados despues de terminar la tendida.,,
293,1,267,,gvh,,,3,2,2,,,,,6,FALSE,,"Regalo de otra embarcacion, sin cabeza, se desenmallo en el agua, no subio al bote.",,
293,5,191,,gvh-2200,08´41.000,80´07.000,1,2,2,161.00,1,,,1,TRUE,23,Las primeras carnadas de chancho marino utilizadas fueron de un chancho capturado por otra embarcacion que nos lo regalo sin cabeza.,,
293,5,192,,gvh-2201,08´41.000,80´07.000,1,2,2,,2,,,6,TRUE,,"Este animal se desenmallo en el agua, no se subio al bote.",,
293,5,193,,gvh-2202,08´42.000,80´08.000,1,2,2,209.00,1,,,,TRUE,22,,TC293-5-gvh2202 (D. delphis),
293,7,189,,gvh-2205,08´07.000,79´12.000,2,2,2,182.00,2,,,3,TRUE,19,"Cria de gvh-2204, no tenia dientes, aun se amamantaba con leche",,
293,7,190,,gvh-2206,08´07.000,79´12.000,2,2,2,96.00,1,,,3,TRUE,20,,,
